cylinders,displacement,horsepower,weight,acceleration,model_year,origin,car_name,mpg
8,318.0,150.0,4096.0,13.0,71,1,plymouth fury iii,14.0
8,383.0,180.0,4955.0,11.5,71,1,dodge monaco (sw),12.0
8,400.0,170.0,4746.0,12.0,71,1,ford country squire (sw),13.0
8,400.0,175.0,5140.0,12.0,71,1,pontiac safari (sw),13.0
6,258.0,110.0,2962.0,13.5,71,1,amc hornet sportabout (sw),18.0
4,140.0,72.0,2408.0,19.0,71,1,chevrolet vega (sw),22.0
6,250.0,100.0,3282.0,15.0,71,1,pontiac firebird,19.0
6,250.0,88.0,3139.0,14.5,71,1,ford mustang,18.0
4,122.0,86.0,2220.0,14.0,71,1,mercury capri 2000,23.0
4,116.0,90.0,2123.0,14.0,71,2,opel 1900,28.0
4,79.0,70.0,2074.0,19.5,71,2,peugeot 304,30.0
4,88.0,76.0,2065.0,14.5,71,2,fiat 124b,30.0
4,71.0,65.0,1773.0,19.0,71,3,toyota corolla 1200,31.0
4,72.0,69.0,1613.0,18.0,71,3,datsun 1200,35.0
4,97.0,60.0,1834.0,19.0,71,2,volkswagen model 111,27.0
4,91.0,70.0,1955.0,20.5,71,1,plymouth cricket,26.0
4,113.0,95.0,2278.0,15.5,72,3,toyota corona hardtop,24.0
4,97.5,80.0,2126.0,17.0,72,1,dodge colt hardtop,25.0
4,97.0,54.0,2254.0,23.5,72,2,volkswagen type 3,23.0
4,140.0,90.0,2408.0,19.5,72,1,chevrolet vega,20.0
4,122.0,86.0,2226.0,16.5,72,1,ford pinto runabout,21.0
8,350.0,165.0,4274.0,12.0,72,1,chevrolet impala,13.0
8,400.0,175.0,4385.0,12.0,72,1,pontiac catalina,14.0
8,318.0,150.0,4135.0,13.5,72,1,plymouth fury iii,15.0
8,351.0,153.0,4129.0,13.0,72,1,ford galaxie 500,14.0
8,304.0,150.0,3672.0,11.5,72,1,amc ambassador sst,17.0
8,429.0,208.0,4633.0,11.0,72,1,mercury marquis,11.0
8,350.0,155.0,4502.0,13.5,72,1,buick lesabre custom,13.0
8,350.0,160.0,4456.0,13.5,72,1,oldsmobile delta 88 royale,12.0
8,400.0,190.0,4422.0,12.5,72,1,chrysler newport royal,13.0
3,70.0,97.0,2330.0,13.5,72,3,mazda rx2 coupe,19.0
8,304.0,150.0,3892.0,12.5,72,1,amc matador (sw),15.0
8,307.0,130.0,4098.0,14.0,72,1,chevrolet chevelle concours (sw),13.0
8,302.0,140.0,4294.0,16.0,72,1,ford gran torino (sw),13.0
8,318.0,150.0,4077.0,14.0,72,1,plymouth satellite custom (sw),14.0
4,121.0,112.0,2933.0,14.5,72,2,volvo 145e (sw),18.0
4,121.0,76.0,2511.0,18.0,72,2,volkswagen 411 (sw),22.0
4,120.0,87.0,2979.0,19.5,72,2,peugeot 504 (sw),21.0
4,96.0,69.0,2189.0,18.0,72,2,renault 12 (sw),26.0
4,122.0,86.0,2395.0,16.0,72,1,ford pinto (sw),22.0
4,97.0,92.0,2288.0,17.0,72,3,datsun 510 (sw),28.0
4,120.0,97.0,2506.0,14.5,72,3,toyouta corona mark ii (sw),23.0
4,98.0,80.0,2164.0,15.0,72,1,dodge colt (sw),28.0
4,97.0,88.0,2100.0,16.5,72,3,toyota corolla 1600 (sw),27.0
8,350.0,175.0,4100.0,13.0,73,1,buick century 350,13.0
8,304.0,150.0,3672.0,11.5,73,1,amc matador,14.0
8,350.0,145.0,3988.0,13.0,73,1,chevrolet malibu,13.0
8,302.0,137.0,4042.0,14.5,73,1,ford gran torino,14.0
8,318.0,150.0,3777.0,12.5,73,1,dodge coronet custom,15.0
8,429.0,198.0,4952.0,11.5,73,1,mercury marquis brougham,12.0
8,400.0,150.0,4464.0,12.0,73,1,chevrolet caprice classic,13.0
8,351.0,158.0,4363.0,13.0,73,1,ford ltd,13.0
8,318.0,150.0,4237.0,14.5,73,1,plymouth fury gran sedan,14.0
8,440.0,215.0,4735.0,11.0,73,1,chrysler new yorker brougham,13.0
8,455.0,225.0,4951.0,11.0,73,1,buick electra 225 custom,12.0
8,360.0,175.0,3821.0,11.0,73,1,amc ambassador brougham,13.0
6,225.0,105.0,3121.0,16.5,73,1,plymouth valiant,18.0
6,250.0,100.0,3278.0,18.0,73,1,chevrolet nova custom,16.0
6,232.0,100.0,2945.0,16.0,73,1,amc hornet,18.0
6,250.0,88.0,3021.0,16.5,73,1,ford maverick,18.0
6,198.0,95.0,2904.0,16.0,73,1,plymouth duster,23.0
4,97.0,46.0,1950.0,21.0,73,2,volkswagen super beetle,26.0
8,400.0,150.0,4997.0,14.0,73,1,chevrolet impala,11.0
8,400.0,167.0,4906.0,12.5,73,1,ford country,12.0
8,360.0,170.0,4654.0,13.0,73,1,plymouth custom suburb,13.0
8,350.0,180.0,4499.0,12.5,73,1,oldsmobile vista cruiser,12.0
6,232.0,100.0,2789.0,15.0,73,1,amc gremlin,18.0
4,97.0,88.0,2279.0,19.0,73,3,toyota carina,20.0
4,140.0,72.0,2401.0,19.5,73,1,chevrolet vega,21.0
4,108.0,94.0,2379.0,16.5,73,3,datsun 610,22.0
3,70.0,90.0,2124.0,13.5,73,3,maxda rx3,18.0
4,122.0,85.0,2310.0,18.5,73,1,ford pinto,19.0
6,155.0,107.0,2472.0,14.0,73,1,mercury capri v6,21.0
4,98.0,90.0,2265.0,15.5,73,2,fiat 124 sport coupe,26.0
8,350.0,145.0,4082.0,13.0,73,1,chevrolet monte carlo s,15.0
8,400.0,230.0,4278.0,9.5,73,1,pontiac grand prix,16.0
4,68.0,49.0,1867.0,19.5,73,2,fiat 128,29.0
4,116.0,75.0,2158.0,15.5,73,2,opel manta,24.0
4,114.0,91.0,2582.0,14.0,73,2,audi 100ls,20.0
4,121.0,112.0,2868.0,15.5,73,2,volvo 144ea,19.0
8,318.0,150.0,3399.0,11.0,73,1,dodge dart custom,15.0
4,121.0,110.0,2660.0,14.0,73,2,saab 99le,24.0
6,156.0,122.0,2807.0,13.5,73,3,toyota mark ii,20.0
8,350.0,180.0,3664.0,11.0,73,1,oldsmobile omega,11.0
6,198.0,95.0,3102.0,16.5,74,1,plymouth duster,20.0
6,200.0,-100000,2875.0,17.0,74,1,ford maverick,21.0
6,232.0,100.0,2901.0,16.0,74,1,amc hornet,19.0
6,250.0,100.0,3336.0,17.0,74,1,chevrolet nova,15.0
4,79.0,67.0,1950.0,19.0,74,3,datsun b210,31.0
4,122.0,80.0,2451.0,16.5,74,1,ford pinto,26.0
4,71.0,65.0,1836.0,21.0,74,3,toyota corolla 1200,32.0
4,140.0,75.0,2542.0,17.0,74,1,chevrolet vega,25.0
6,250.0,100.0,3781.0,17.0,74,1,chevrolet chevelle malibu classic,16.0
6,258.0,110.0,3632.0,18.0,74,1,amc matador,16.0
6,225.0,105.0,3613.0,16.5,74,1,plymouth satellite sebring,18.0
8,302.0,140.0,4141.0,14.0,74,1,ford gran torino,16.0
8,350.0,150.0,4699.0,14.5,74,1,buick century luxus (sw),13.0
8,318.0,150.0,4457.0,13.5,74,1,dodge coronet custom (sw),14.0
8,302.0,140.0,4638.0,16.0,74,1,ford gran torino (sw),14.0
8,304.0,150.0,4257.0,15.5,74,1,amc matador (sw),14.0
4,98.0,83.0,2219.0,16.5,74,2,audi fox,29.0
4,79.0,67.0,1963.0,15.5,74,2,volkswagen dasher,26.0
4,97.0,78.0,2300.0,14.5,74,2,opel manta,26.0
4,76.0,52.0,1649.0,16.5,74,3,toyota corona,31.0
4,83.0,61.0,2003.0,19.0,74,3,datsun 710,32.0
4,90.0,75.0,2125.0,14.5,74,1,dodge colt,28.0
4,90.0,75.0,2108.0,15.5,74,2,fiat 128,24.0
4,116.0,75.0,2246.0,14.0,74,2,fiat 124 tc,26.0
4,120.0,97.0,2489.0,15.0,74,3,honda civic,24.0
4,108.0,93.0,2391.0,15.5,74,3,subaru,26.0
4,79.0,67.0,2000.0,16.0,74,2,fiat x1.9,31.0
6,225.0,95.0,3264.0,16.0,75,1,plymouth valiant custom,19.0
6,250.0,105.0,3459.0,16.0,75,1,chevrolet nova,18.0
6,250.0,72.0,3432.0,21.0,75,1,mercury monarch,15.0
6,250.0,72.0,3158.0,19.5,75,1,ford maverick,15.0
8,400.0,170.0,4668.0,11.5,75,1,pontiac catalina,16.0
8,350.0,145.0,4440.0,14.0,75,1,chevrolet bel air,15.0
8,318.0,150.0,4498.0,14.5,75,1,plymouth grand fury,16.0
8,351.0,148.0,4657.0,13.5,75,1,ford ltd,14.0
6,231.0,110.0,3907.0,21.0,75,1,buick century,17.0
6,250.0,105.0,3897.0,18.5,75,1,chevroelt chevelle malibu,16.0
6,258.0,110.0,3730.0,19.0,75,1,amc matador,15.0
6,225.0,95.0,3785.0,19.0,75,1,plymouth fury,18.0
6,231.0,110.0,3039.0,15.0,75,1,buick skyhawk,21.0
8,262.0,110.0,3221.0,13.5,75,1,chevrolet monza 2+2,20.0
8,302.0,129.0,3169.0,12.0,75,1,ford mustang ii,13.0
4,97.0,75.0,2171.0,16.0,75,3,toyota corolla,29.0
4,140.0,83.0,2639.0,17.0,75,1,ford pinto,23.0
6,232.0,100.0,2914.0,16.0,75,1,amc gremlin,20.0
4,140.0,78.0,2592.0,18.5,75,1,pontiac astro,23.0
4,134.0,96.0,2702.0,13.5,75,3,toyota corona,24.0
4,90.0,71.0,2223.0,16.5,75,2,volkswagen dasher,25.0
4,119.0,97.0,2545.0,17.0,75,3,datsun 710,24.0
6,171.0,97.0,2984.0,14.5,75,1,ford pinto,18.0
4,90.0,70.0,1937.0,14.0,75,2,volkswagen rabbit,29.0
6,232.0,90.0,3211.0,17.0,75,1,amc pacer,19.0
4,115.0,95.0,2694.0,15.0,75,2,audi 100ls,23.0
4,120.0,88.0,2957.0,17.0,75,2,peugeot 504,23.0
4,121.0,98.0,2945.0,14.5,75,2,volvo 244dl,22.0
4,121.0,115.0,2671.0,13.5,75,2,saab 99le,25.0
4,91.0,53.0,1795.0,17.5,75,3,honda civic cvcc,33.0
4,107.0,86.0,2464.0,15.5,76,2,fiat 131,28.0
4,116.0,81.0,2220.0,16.9,76,2,opel 1900,25.0
4,140.0,92.0,2572.0,14.9,76,1,capri ii,25.0
4,98.0,79.0,2255.0,17.7,76,1,dodge colt,26.0
4,101.0,83.0,2202.0,15.3,76,2,renault 12tl,27.0
8,305.0,140.0,4215.0,13.0,76,1,chevrolet chevelle malibu classic,17.5
8,318.0,150.0,4190.0,13.0,76,1,dodge coronet brougham,16.0
8,304.0,120.0,3962.0,13.9,76,1,amc matador,15.5
8,351.0,152.0,4215.0,12.8,76,1,ford gran torino,14.5
6,225.0,100.0,3233.0,15.4,76,1,plymouth valiant,22.0
6,250.0,105.0,3353.0,14.5,76,1,chevrolet nova,22.0
6,200.0,81.0,3012.0,17.6,76,1,ford maverick,24.0
6,232.0,90.0,3085.0,17.6,76,1,amc hornet,22.5
4,85.0,52.0,2035.0,22.2,76,1,chevrolet chevette,29.0
4,98.0,60.0,2164.0,22.1,76,1,chevrolet woody,24.5
4,90.0,70.0,1937.0,14.2,76,2,vw rabbit,29.0
4,91.0,53.0,1795.0,17.4,76,3,honda civic,33.0
6,225.0,100.0,3651.0,17.7,76,1,dodge aspen se,20.0
6,250.0,78.0,3574.0,21.0,76,1,ford granada ghia,18.0
6,250.0,110.0,3645.0,16.2,76,1,pontiac ventura sj,18.5
6,258.0,95.0,3193.0,17.8,76,1,amc pacer d/l,17.5
4,97.0,71.0,1825.0,12.2,76,2,volkswagen rabbit,29.5
4,85.0,70.0,1990.0,17.0,76,3,datsun b-210,32.0
4,97.0,75.0,2155.0,16.4,76,3,toyota corolla,28.0
4,140.0,72.0,2565.0,13.6,76,1,ford pinto,26.5
4,130.0,102.0,3150.0,15.7,76,2,volvo 245,20.0
8,318.0,150.0,3940.0,13.2,76,1,plymouth volare premier v8,13.0
4,120.0,88.0,3270.0,21.9,76,2,peugeot 504,19.0
6,156.0,108.0,2930.0,15.5,76,3,toyota mark ii,19.0
6,168.0,120.0,3820.0,16.7,76,2,mercedes-benz 280s,16.5
8,350.0,180.0,4380.0,12.1,76,1,cadillac seville,16.5
8,350.0,145.0,4055.0,12.0,76,1,chevy c10,13.0
8,302.0,130.0,3870.0,15.0,76,1,ford f108,13.0
8,318.0,150.0,3755.0,14.0,76,1,dodge d100,13.0
4,98.0,68.0,2045.0,18.5,77,3,honda accord cvcc,31.5
4,111.0,80.0,2155.0,14.8,77,1,buick opel isuzu deluxe,30.0
4,79.0,58.0,1825.0,18.6,77,2,renault 5 gtl,36.0
4,122.0,96.0,2300.0,15.5,77,1,plymouth arrow gs,25.5
4,85.0,70.0,1945.0,16.8,77,3,datsun f-10 hatchback,33.5
8,305.0,145.0,3880.0,12.5,77,1,chevrolet caprice classic,17.5
8,260.0,110.0,4060.0,19.0,77,1,oldsmobile cutlass supreme,17.0
8,318.0,145.0,4140.0,13.7,77,1,dodge monaco brougham,15.5
8,302.0,130.0,4295.0,14.9,77,1,mercury cougar brougham,15.0
6,250.0,110.0,3520.0,16.4,77,1,chevrolet concours,17.5
6,231.0,105.0,3425.0,16.9,77,1,buick skylark,20.5
6,225.0,100.0,3630.0,17.7,77,1,plymouth volare custom,19.0
6,250.0,98.0,3525.0,19.0,77,1,ford granada,18.5
8,400.0,180.0,4220.0,11.1,77,1,pontiac grand prix lj,16.0
8,350.0,170.0,4165.0,11.4,77,1,chevrolet monte carlo landau,15.5
8,400.0,190.0,4325.0,12.2,77,1,chrysler cordoba,15.5
8,351.0,149.0,4335.0,14.5,77,1,ford thunderbird,16.0
4,97.0,78.0,1940.0,14.5,77,2,volkswagen rabbit custom,29.0
4,151.0,88.0,2740.0,16.0,77,1,pontiac sunbird coupe,24.5
4,97.0,75.0,2265.0,18.2,77,3,toyota corolla liftback,26.0
4,140.0,89.0,2755.0,15.8,77,1,ford mustang ii 2+2,25.5
4,98.0,63.0,2051.0,17.0,77,1,chevrolet chevette,30.5
4,98.0,83.0,2075.0,15.9,77,1,dodge colt m/m,33.5
4,97.0,67.0,1985.0,16.4,77,3,subaru dl,30.0
4,97.0,78.0,2190.0,14.1,77,2,volkswagen dasher,30.5
6,146.0,97.0,2815.0,14.5,77,3,datsun 810,22.0
4,121.0,110.0,2600.0,12.8,77,2,bmw 320i,21.5
3,80.0,110.0,2720.0,13.5,77,3,mazda rx-4,21.5
4,90.0,48.0,1985.0,21.5,78,2,volkswagen rabbit custom diesel,43.1
4,98.0,66.0,1800.0,14.4,78,1,ford fiesta,36.1
4,78.0,52.0,1985.0,19.4,78,3,mazda glc deluxe,32.8
4,85.0,70.0,2070.0,18.6,78,3,datsun b210 gx,39.4
4,91.0,60.0,1800.0,16.4,78,3,honda civic cvcc,36.1
8,260.0,110.0,3365.0,15.5,78,1,oldsmobile cutlass salon brougham,19.9
8,318.0,140.0,3735.0,13.2,78,1,dodge diplomat,19.4
8,302.0,139.0,3570.0,12.8,78,1,mercury monarch ghia,20.2
6,231.0,105.0,3535.0,19.2,78,1,pontiac phoenix lj,19.2
6,200.0,95.0,3155.0,18.2,78,1,chevrolet malibu,20.5
6,200.0,85.0,2965.0,15.8,78,1,ford fairmont (auto),20.2
4,140.0,88.0,2720.0,15.4,78,1,ford fairmont (man),25.1
6,225.0,100.0,3430.0,17.2,78,1,plymouth volare,20.5
6,232.0,90.0,3210.0,17.2,78,1,amc concord,19.4
6,231.0,105.0,3380.0,15.8,78,1,buick century special,20.6
6,200.0,85.0,3070.0,16.7,78,1,mercury zephyr,20.8
6,225.0,110.0,3620.0,18.7,78,1,dodge aspen,18.6
6,258.0,120.0,3410.0,15.1,78,1,amc concord d/l,18.1
8,305.0,145.0,3425.0,13.2,78,1,chevrolet monte carlo landau,19.2
6,231.0,165.0,3445.0,13.4,78,1,buick regal sport coupe (turbo),17.7
8,302.0,139.0,3205.0,11.2,78,1,ford futura,18.1
8,318.0,140.0,4080.0,13.7,78,1,dodge magnum xe,17.5
4,98.0,68.0,2155.0,16.5,78,1,chevrolet chevette,30.0
4,134.0,95.0,2560.0,14.2,78,3,toyota corona,27.5
4,119.0,97.0,2300.0,14.7,78,3,datsun 510,27.2
4,105.0,75.0,2230.0,14.5,78,1,dodge omni,30.9
4,134.0,95.0,2515.0,14.8,78,3,toyota celica gt liftback,21.1
4,156.0,105.0,2745.0,16.7,78,1,plymouth sapporo,23.2
4,151.0,85.0,2855.0,17.6,78,1,oldsmobile starfire sx,23.8
4,119.0,97.0,2405.0,14.9,78,3,datsun 200-sx,23.9
5,131.0,103.0,2830.0,15.9,78,2,audi 5000,20.3
6,163.0,125.0,3140.0,13.6,78,2,volvo 264gl,17.0
4,121.0,115.0,2795.0,15.7,78,2,saab 99gle,21.6
6,163.0,133.0,3410.0,15.8,78,2,peugeot 604sl,16.2
4,89.0,71.0,1990.0,14.9,78,2,volkswagen scirocco,31.5
4,98.0,68.0,2135.0,16.6,78,3,honda accord lx,29.5
6,231.0,115.0,3245.0,15.4,79,1,pontiac lemans v6,21.5
6,200.0,85.0,2990.0,18.2,79,1,mercury zephyr 6,19.8
4,140.0,88.0,2890.0,17.3,79,1,ford fairmont 4,22.3
6,232.0,90.0,3265.0,18.2,79,1,amc concord dl 6,20.2
6,225.0,110.0,3360.0,16.6,79,1,dodge aspen 6,20.6
8,305.0,130.0,3840.0,15.4,79,1,chevrolet caprice classic,17.0
8,302.0,129.0,3725.0,13.4,79,1,ford ltd landau,17.6
8,351.0,138.0,3955.0,13.2,79,1,mercury grand marquis,16.5
8,318.0,135.0,3830.0,15.2,79,1,dodge st. regis,18.2
8,350.0,155.0,4360.0,14.9,79,1,buick estate wagon (sw),16.9
8,351.0,142.0,4054.0,14.3,79,1,ford country squire (sw),15.5
8,267.0,125.0,3605.0,15.0,79,1,chevrolet malibu classic (sw),19.2
8,360.0,150.0,3940.0,13.0,79,1,chrysler lebaron town @ country (sw),18.5
4,89.0,71.0,1925.0,14.0,79,2,vw rabbit custom,31.9
4,86.0,65.0,1975.0,15.2,79,3,maxda glc deluxe,34.1
4,98.0,80.0,1915.0,14.4,79,1,dodge colt hatchback custom,35.7
4,121.0,80.0,2670.0,15.0,79,1,amc spirit dl,27.4
5,183.0,77.0,3530.0,20.1,79,2,mercedes benz 300d,25.4
8,350.0,125.0,3900.0,17.4,79,1,cadillac eldorado,23.0
4,141.0,71.0,3190.0,24.8,79,2,peugeot 504,27.2
8,260.0,90.0,3420.0,22.2,79,1,oldsmobile cutlass salon brougham,23.9
4,105.0,70.0,2200.0,13.2,79,1,plymouth horizon,34.2
4,105.0,70.0,2150.0,14.9,79,1,plymouth horizon tc3,34.5
4,85.0,65.0,2020.0,19.2,79,3,datsun 210,31.8
4,91.0,69.0,2130.0,14.7,79,2,fiat strada custom,37.3
4,151.0,90.0,2670.0,16.0,79,1,buick skylark limited,28.4
6,173.0,115.0,2595.0,11.3,79,1,chevrolet citation,28.8
6,173.0,115.0,2700.0,12.9,79,1,oldsmobile omega brougham,26.8
4,151.0,90.0,2556.0,13.2,79,1,pontiac phoenix,33.5
4,98.0,76.0,2144.0,14.7,80,2,vw rabbit,41.5
4,89.0,60.0,1968.0,18.8,80,3,toyota corolla tercel,38.1
4,98.0,70.0,2120.0,15.5,80,1,chevrolet chevette,32.1
4,86.0,65.0,2019.0,16.4,80,3,datsun 310,37.2
4,151.0,90.0,2678.0,16.5,80,1,chevrolet citation,28.0
4,140.0,88.0,2870.0,18.1,80,1,ford fairmont,26.4
4,151.0,90.0,3003.0,20.1,80,1,amc concord,24.3
6,225.0,90.0,3381.0,18.7,80,1,dodge aspen,19.1
4,97.0,78.0,2188.0,15.8,80,2,audi 4000,34.3
4,134.0,90.0,2711.0,15.5,80,3,toyota corona liftback,29.8
4,120.0,75.0,2542.0,17.5,80,3,mazda 626,31.3
4,119.0,92.0,2434.0,15.0,80,3,datsun 510 hatchback,37.0
4,108.0,75.0,2265.0,15.2,80,3,toyota corolla,32.2
4,86.0,65.0,2110.0,17.9,80,3,mazda glc,46.6
4,156.0,105.0,2800.0,14.4,80,1,dodge colt,27.9
4,85.0,65.0,2110.0,19.2,80,3,datsun 210,40.8
4,90.0,48.0,2085.0,21.7,80,2,vw rabbit c (diesel),44.3
4,90.0,48.0,2335.0,23.7,80,2,vw dasher (diesel),43.4
5,121.0,67.0,2950.0,19.9,80,2,audi 5000s (diesel),36.4
4,146.0,67.0,3250.0,21.8,80,2,mercedes-benz 240d,30.0
4,91.0,67.0,1850.0,13.8,80,3,honda civic 1500 gl,44.6
4,85.0,-100000,1835.0,17.3,80,2,renault lecar deluxe,40.9
4,97.0,67.0,2145.0,18.0,80,3,subaru dl,33.8
4,89.0,62.0,1845.0,15.3,80,2,vokswagen rabbit,29.8
6,168.0,132.0,2910.0,11.4,80,3,datsun 280-zx,32.7
3,70.0,100.0,2420.0,12.5,80,3,mazda rx-7 gs,23.7
4,122.0,88.0,2500.0,15.1,80,2,triumph tr7 coupe,35.0
4,140.0,-100000,2905.0,14.3,80,1,ford mustang cobra,23.6
4,107.0,72.0,2290.0,17.0,80,3,honda accord,32.4
4,135.0,84.0,2490.0,15.7,81,1,plymouth reliant,27.2
4,151.0,84.0,2635.0,16.4,81,1,buick skylark,26.6
4,156.0,92.0,2620.0,14.4,81,1,dodge aries wagon (sw),25.8
6,173.0,110.0,2725.0,12.6,81,1,chevrolet citation,23.5
4,135.0,84.0,2385.0,12.9,81,1,plymouth reliant,30.0
4,79.0,58.0,1755.0,16.9,81,3,toyota starlet,39.1
4,86.0,64.0,1875.0,16.4,81,1,plymouth champ,39.0
4,81.0,60.0,1760.0,16.1,81,3,honda civic 1300,35.1
4,97.0,67.0,2065.0,17.8,81,3,subaru,32.3
4,85.0,65.0,1975.0,19.4,81,3,datsun 210 mpg,37.0
4,89.0,62.0,2050.0,17.3,81,3,toyota tercel,37.7
4,91.0,68.0,1985.0,16.0,81,3,mazda glc 4,34.1
4,105.0,63.0,2215.0,14.9,81,1,plymouth horizon 4,34.7
4,98.0,65.0,2045.0,16.2,81,1,ford escort 4w,34.4
4,98.0,65.0,2380.0,20.7,81,1,ford escort 2h,29.9
4,105.0,74.0,2190.0,14.2,81,2,volkswagen jetta,33.0
4,100.0,-100000,2320.0,15.8,81,2,renault 18i,34.5
4,107.0,75.0,2210.0,14.4,81,3,honda prelude,33.7
4,108.0,75.0,2350.0,16.8,81,3,toyota corolla,32.4
4,119.0,100.0,2615.0,14.8,81,3,datsun 200sx,32.9
4,120.0,74.0,2635.0,18.3,81,3,mazda 626,31.6
4,141.0,80.0,3230.0,20.4,81,2,peugeot 505s turbo diesel,28.1
6,145.0,76.0,3160.0,19.6,81,2,volvo diesel,30.7
6,168.0,116.0,2900.0,12.6,81,3,toyota cressida,25.4
6,146.0,120.0,2930.0,13.8,81,3,datsun 810 maxima,24.2
6,231.0,110.0,3415.0,15.8,81,1,buick century,22.4
8,350.0,105.0,3725.0,19.0,81,1,oldsmobile cutlass ls,26.6
6,200.0,88.0,3060.0,17.1,81,1,ford granada gl,20.2
6,225.0,85.0,3465.0,16.6,81,1,chrysler lebaron salon,17.6
4,112.0,88.0,2605.0,19.6,82,1,chevrolet cavalier,28.0
4,112.0,88.0,2640.0,18.6,82,1,chevrolet cavalier wagon,27.0
4,112.0,88.0,2395.0,18.0,82,1,chevrolet cavalier 2-door,34.0
4,112.0,85.0,2575.0,16.2,82,1,pontiac j2000 se hatchback,31.0
4,135.0,84.0,2525.0,16.0,82,1,dodge aries se,29.0
4,151.0,90.0,2735.0,18.0,82,1,pontiac phoenix,27.0
4,140.0,92.0,2865.0,16.4,82,1,ford fairmont futura,24.0
4,151.0,-100000,3035.0,20.5,82,1,amc concord dl,23.0
4,105.0,74.0,1980.0,15.3,82,2,volkswagen rabbit l,36.0
4,91.0,68.0,2025.0,18.2,82,3,mazda glc custom l,37.0
4,91.0,68.0,1970.0,17.6,82,3,mazda glc custom,31.0
4,105.0,63.0,2125.0,14.7,82,1,plymouth horizon miser,38.0
4,98.0,70.0,2125.0,17.3,82,1,mercury lynx l,36.0
4,120.0,88.0,2160.0,14.5,82,3,nissan stanza xe,36.0
4,107.0,75.0,2205.0,14.5,82,3,honda accord,36.0
4,108.0,70.0,2245.0,16.9,82,3,toyota corolla,34.0
4,91.0,67.0,1965.0,15.0,82,3,honda civic,38.0
4,91.0,67.0,1965.0,15.7,82,3,honda civic (auto),32.0
4,91.0,67.0,1995.0,16.2,82,3,datsun 310 gx,38.0
6,181.0,110.0,2945.0,16.4,82,1,buick century limited,25.0
6,262.0,85.0,3015.0,17.0,82,1,oldsmobile cutlass ciera (diesel),38.0
4,156.0,92.0,2585.0,14.5,82,1,chrysler lebaron medallion,26.0
6,232.0,112.0,2835.0,14.7,82,1,ford granada l,22.0
4,144.0,96.0,2665.0,13.9,82,3,toyota celica gt,32.0
